Item ,Manufacturer ,Item Desc. ,Sales Price ,Internal ID
CTS-SX20-PHD4X-K9,Cisco,SX20 Quick Set HD  NPP  4x PHDCam  1 mic  remote cntrl,"9,900.00",49972
CTS-SX80-IP40-K9,Cisco,Cisco SX80 Codec Precision 4x Cam Touch 10,"21,900.00",66821
CTS-SX80-IP60-K9,Cisco,Cisco SX80 Codec  Precision 60 Cam  Touch 10,"24,900.00",36661
CTS-SX80-K9,Cisco,Cisco SX80 Codec kit (Codec Only),"17,900.00",114738
DEV-RM-HD100-D9020-SA,Vidyo,HD room appliance 720p up to 30fps with external IR receiver included (DEV-ACC-RM-EIR). HD PTZ camera and speakerphone NOT INCLUDED. Optional DVI to USB adapter to connect non-USB PTZ cameras sold separately.,"2,995.00",3324
DEV-RM-HD110-SA,Vidyo,"HD room appliance that delivers 1080p up to 30fps or 720p up to 60fps encode and decode. Supports one HD monitor for participant video and a second HD monitor for shared content, HD PTZ camera and speakerphone. Monitors, HD PTZ camera and speakerphon","4,995.00",92901
DEV-RM-HD2-SA,Vidyo,VidyoRoom HD2 - endpoint only - HD room system appliance supporting up to one display at 4K at 30fps decode per screen or two monitors at 1080P at 60fps. Supports encode from a camera up to 1080p up to 60fps and from a content share device up to 1080p at 30fps.,"2,995.00",114423
DEV-RM-HD220-SA,Vidyo,"HD room appliance 1080p up to 30fps or 720p up to 60fps, supports two HD Monitors (not included), HD PTZ camera and speakerphone NOT INCLUDED. NOTE: This VidyoRoom does NOT consume VidyoLine software licenses for connectivity through the VidyoRouter. Vidyo reserves the right to fulfill any part of an order with same or better products offering the same set of functionality or more at the prices quoted here in.","5,495.00",3323
DEV-RM-HD230-SA,Vidyo,"HD room system appliance supporting 1080p up to 30fps or 720p up to 60fps encode from professional PTZ camera and a second input port for 1080p up to 15fps content encoding. Supports two HD Monitors (not included) with flexibility in layout including participants in continuous presence across both screens, active speaker on one screen and continuous presence on other, or content on one screen and continous presence on other. HD PTZ camera and speakerphone NOT INCLUDED. ","5,995.00",3322
DEV-RM-HD3-SA,Vidyo,HD room system appliance supporting up to two displays at 4K at 30fps decode per screen or four monitors at 1080P at 60fps. Supports encode from a camera up to 1080p up to 60fps and from a content share device up to 4K at 10fps. Camera and speakerphone NOT INCLUDED. NOT FOR SALE IN CHINA OR RUSSIA.,"5,995.00",113841
DEV-RM-HD40-B-SA,Vidyo,"Ultra small form factor HD room appliance that encodes 720p up to 30fps and decodes 1080p up to 30fps on a single screen with support for a second screen for shared content viewing. The appliance is VESA 1 mountable to the back of a display. Display, USB camera, speakerphone and tablet hardware for Vidyo Remote control software NOT INCLUDED. NOTE: The RF QWERTY Remote Control (PN DEV-ACC-RM-RF-REMOTE) may be purchased separately for customers in the US, Canada and EU. For a complete list of countries where the remote is qualified for sale see the RF QWERTY REMOTE ","1,895.00",3326
DEV-RM-HD40-C-SA-0A,Vidyo,"Ultra small form factor HD room appliance that encodes 720p up to 30fps and decodes 1080p up to 30fps on a single screen with support for a second screen for shared content viewing. The appliance is VESA 1 mountable to the back of a display. Display, USB camera, speakerphone and tablet hardware for Vidyo Remote control software NOT INCLUDED.  ","1,895.00",69131
DEV-RM-HD50-SA,Vidyo,HD room appliance 720p up to 30fps with external IR receiver included (DEV-ACC-RM-EIR). USB camera and speakerphone NOT INCLUDED. NOTE: This VidyoRoom does NOT consume VidyoLine software licenses for connectivity through the VidyoRouter.,"1,995.00",3325
DEV-RM-VP600-SA,Vidyo,"VidyoPanorama telepresence room codec hardware and software license, supporting up to six HD displays, with up to 1080P60 decode per screen and up to 1080P60 encode. Supports flexible screen layouts including multi-screen continuous presence, multiple full screen single participant and multiple full screen content. Displays, HD PTZ camera, audio device, and remote control tablet hardware are required but NOT INCLUDED. NOTE: The RF QWERTY Remote Control (PN DEV-ACC-RM-RF-REMOTE) may be purchased separately for customers in the US, Canada and EU. For a complete list of countries where the remote is qualified for sale see the RF QWERTY REMOTE","24,995.00",3321
EPR9A00X55-000,Newline,TRUTOUCH X5 Unified Collaboration System (on-board computer included),"7,249.00",114775
EPR9A00X70-000,Newline,TRUTOUCH X7 Unified Collaboration System (on-board computer included) (delivered),"11,999.00",114339
PKG-ACC-RM-PRO,Vidyo,"VidyoRoom HD-40 Pro Pack is a bundle of accessories that enables the addition of the professional non-USB PTZ camera with more capable audio to the VidyoRoom HD-40 to cover larger rooms than the standard VidyoRoom HD-40 with PTZ webcam offering. The Pro Pack includes the Sony EVI HD-7 camera, Phoenix Quattro speakerphone, and Dextera DVI to USB3 adapter. Not for sale for applications other than VidyoRoom HD-40 systems (sold separately).","2,845.00",3327
PKG-ACC-RM-SN-USB-PHX,Vidyo,Professional PTZ 1090p60 USB 3.0 Camera and Speakerphone Bundle for VidyoRoom Systems,"2,445.00",108057
PKG-RM-HD100-CT,Vidyo,HD room appliance 720p up to 30fps with external IR receiver included (DEV-ACC-RM-EIR). Sony EVI-HD7 camera and ClearOne Chat150 speakerphone INCLUDED.,"5,894.00",74952
PKG-RM-HD100-SN-CAM,Vidyo,HD100 room appliance 720p up to 30fps bundled with Sony EVI-HD7 PTZ camera. Supports one HD monitor for participant video and a second HD monitor for shared content. Monitors and speakerphone NOT INCLUDED.,"5,495.00",98428
PKG-RM-HD110-SN-CAM,Vidyo,VidyoRoom HD 110 with PTZ Camera,"5,995.00",108163
PKG-RM-HD2-GROUP,Vidyo,"VidyoRoom HD2 - Bundle - HD room system appliance supporting up to one display at 4K at 30fps decode per screen or two monitors at 1080P at 60fps. Supports encode from a camera up to 1080p up to 60fps and from a content share device up to 1080p at 30fps. Camera, speakerphone and a content share device are Included. ","5,395.00",114442
PKG-RM-HD220-SN-CAM,Vidyo,HD220 room appliance 1080p up to 30fps or 720p up to 60fps bundled with Sony EVI-HD7 PTZ camera. Supports two HD monitors. Monitors and speakerphone NOT INCLUDED.,"9,495.00",98430
PKG-RM-HD220-SN-PHX,Vidyo,"HD220 1080P up to 30FPS, Sony EVI-HD7, Phoenix Quattro speaker phone   ","9,895.00",102781
PKG-RM-HD3-GROUP,Vidyo,"VidyoRoom HD3 - Bundle HD room system appliance supporting up to two displays at 4K at 30fps decode per screen or four monitors at 1080P at 60fps. Supports encode from a camera up to 1080p up to 60fps and from a content share device up to 4K at 10fps. Camera, speakerphone and a content share device are Included.   ","7,995.00",114571
PKG-RM-HD40-GROUP,Vidyo,VidyoRoom HD40 with Logitech Group - Bundle,"2,995.00",113864
PKG-RM-HD50-CS,Vidyo,HD room appliance 720p up to 30fps with USB HD camera and speakerphone bundle INCLUDED.,"1,265.00",75554
PROMO-VRM-HD40-RFRSH,Vidyo,"Promotional VidyoRoom HD-40 hardware refresh offer for EOL VidyoRoom HD-50, HD-100 ","1,895.00",113008
PSU-12VDC-40W=,Cisco,Power Supply 12 VDC 40W,180.00,36663
SBC-1K-SIP,Sonus,SONUS SBC1000W DSP SIP LIC,"2,577.99",80673
TAB-3000M-NPP-OPT,TANDBERG,TANDBERG 3000 MXP - NATURAL PRESENTOR PACKAGE OPTION,"2,000.00",109782
TAB-3000M-P32,TANDBERG,"TANDBERG 3000 MXP PROFILE - SINGLE 32"" WXGA PLASMA WITH TANDBERG PRECISIONHD CAMERA ","18,900.00",109781
TAB-C20,TANDBERG,"Tanberg Quick Set C20 Codec including NPP, Precision HD 1080p 4X Camera, Performance mic 20 Microphones, and TRC Remote control","7,900.00",109780
TAB-C20-PLUS,TANDBERG,"Tandberg Quick Set C20 Plus includes Codec C20 including NPP, Precision HD 1080P 12X Camera, Performance Mic 20 Microphones & TRC Remote Control","9,900.00",114967
TAB-C40-INT-4x,Tanberg,Tandberg Integrator Package C40 4x Dual Display Option,"16,900.00",114354
TAB-C40-INT-4x-DD,Tanberg,Tandberg Integrator Package C40 4x Dual Display Option,"2,000.00",114353
TAB-CONTENT-SV,TANDBERG,Tandberg Content Server - 5 recording ports and 2 live output,"36,600.00",114965
TC410ALA,NewTek,Tricaster 410 Without Control Surface,"9,995.00",107948
TC8000,NewTek,"8x3 HD-SDI, Component, Composite Production Switcher w/ Control Surface ","39,995.00",113402
TT-8616UB,Newline,TRUTOUCH 860 Ultra-HD LED Multi-touch Display,"11,899.00",114612
WS-C2960X-48FPD-L,Cisco,Catalyst 2960-X 48 GigE PoE 740W  2 x 10G SFP+  LAN Base,"7,995.00",38167
WS-C3850-48T-S,Cisco,Cisco Catalyst 3850 48 Port Data IP Base,"11,500.00",38165
